tournamentId,matchNum,teamId,playerName,DBNOs,assists,damageDealt,kills,longestKill,revives,timeSurvived
1,3,6,vbunkere67,1,0,174.51651,1,49.76735,1,480
1,3,19,kotee228,2,0,391.2584,1,8.470675,0,1470
1,3,16,Takumiha,0,0,261.32428,2,13.451749,5,1718
1,3,9,cniiinw1221,0,0,56.047497,0,0.0,1,555
1,3,9,Frolish,3,0,273.06915,2,33.89375,5,901
1,3,2,hiles8,2,0,183.33508,0,0.0,0,905
1,3,2,TesSsarion,3,0,316.4,2,5.692943,0,959
1,3,14,S_trannik,0,0,0.0,0,0.0,0,1679
1,3,12,Satamet,3,2,318.38904,3,88.29953,0,1302
1,4,1,MovingAVG,2,0,200.0,1,9.119046,0,545
1,4,18,Zoovoo_,2,2,358.72318,1,190.35773,0,1323
1,4,16,Takumiha,0,0,0.0,0,0.0,0,1035
1,4,3,Abq_elitetv,1,0,45.98987,1,153.00525,1,1176
1,4,17,ponyash,4,0,390.60733,2,37.45754,0,780
1,4,9,bakashiniji,3,1,528.2875,2,368.29956,0,1707
1,4,13,Salvador007,1,0,218.61572,0,0.0,0,825
1,4,6,TWITCH-MAYBECH_,1,1,98.53046,1,60.959747,0,1200
1,4,7,QeJimp,0,0,81.69163,0,0.0,0,126
1,4,4,GazBro27,2,0,161.28925,2,14.155896,0,966
1,4,17,LOPRIK,1,0,121.69442,0,0.0,0,648
1,4,12,wisdm,0,1,196.04214,1,167.62819,0,1408
1,4,9,cniiinw1221,1,0,422.07764,3,259.8008,0,1658
1,4,1,Ps1h_,1,0,100.0,0,0.0,0,308
1,4,2,KyRench,1,2,259.1946,0,0.0,1,1330
1,4,10,ygort123,4,0,443.09985,5,176.45416,0,1473
1,4,10,60M_6EP,2,3,734.231,1,41.155357,1,1354
1,4,4,SHOULD_YT-_-,1,0,217.64896,0,0.0,0,1575
1,4,16,Ex_He_3a6aHuJlo,1,1,246.27643,1,24.083384,2,1279
1,4,8,mr-Bot2010,1,0,241.95729,0,0.0,0,494
1,4,8,ShugarDaddy554,0,0,91.799995,0,0.0,0,441
1,4,12,TBJpro,2,1,380.57892,2,88.09134,0,1372
1,4,2,RaiVer59,0,0,0.0,0,0.0,0,995
1,4,6,bogatir,0,1,182.36012,1,18.429274,3,1169
1,4,7,dallas1995,1,0,100.0,0,0.0,0,124
1,4,5,Kiyot7ka,1,1,191.86,1,68.891014,0,1181
1,4,4,Ththth1020,0,1,25.8,0,0.0,0,970
1,4,17,Platochek46,0,0,0.0,0,0.0,0,557
1,4,16,NONAME_RD7939,2,1,130.46442,1,4.9498096,0,1040
1,4,15,LaNIPUBG,5,0,812.6465,6,154.35052,0,1420
1,4,5,ArtLaw,1,1,197.97276,0,0.0,0,1128
1,4,11,Akitsyokai,0,0,0.0,0,0.0,0,120
1,4,14,S_trannik,0,0,180.80815,0,0.0,0,1032
1,4,6,Temka_001,5,1,473.64575,5,324.61136,1,1131
1,4,15,poloz0k,0,0,0.0,0,0.0,0,538
1,4,5,Amlaith,2,1,288.63202,0,0.0,0,1181
1,4,9,Rocketq_q,0,0,29.04,0,0.0,0,877
1,4,8,Sharuse,0,0,0.0,0,0.0,0,448
1,4,17,naleitechai,0,1,67.67999,0,0.0,0,671
1,4,12,Satamet,3,0,615.0244,3,115.12998,1,1710
